shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape_R01_6eb89030,33.748697,130.724668,3,13.61
shape_R01_6eb89030,33.748734,130.724675,4,17.78
shape_R01_6eb89030,33.748761,130.724692,5,21.16
shape_R01_6eb89030,33.748785,130.724724,6,25.15
shape_R01_6eb89030,33.748800,130.724773,7,29.98
shape_R01_6eb89030,33.748810,130.724827,8,35.09
shape_R01_6eb89030,33.748860,130.725109,9,61.75
shape_R01_6eb89030,33.748994,130.726013,10,146.65
shape_R01_6eb89030,33.749048,130.726324,11,176.02
shape_R01_6eb89030,33.749131,130.726991,12,238.38
shape_R01_6eb89030,33.749219,130.727526,13,288.80
shape_R01_6eb89030,33.749258,130.727806,14,315.05
shape_R01_6eb89030,33.749295,130.728073,15,340.07
shape_R01_6eb89030,33.749358,130.728386,16,369.85
shape_R01_6eb89030,33.749167,130.728441,17,391.69
shape_R01_6eb89030,33.748673,130.728546,18,447.47
shape_R01_6eb89030,33.748226,130.728620,19,497.64
shape_R01_6eb89030,33.747662,130.728741,20,561.35
shape_R01_6eb89030,33.747652,130.728743,21,562.47
shape_R01_6eb89030,33.747509,130.728771,22,578.58
shape_R01_6eb89030,33.747102,130.728867,23,624.70
shape_R01_6eb89030,33.746224,130.729056,24,723.88
shape_R01_6eb89030,33.746137,130.729071,25,733.66
shape_R01_6eb89030,33.746073,130.729081,26,740.83
shape_R01_6eb89030,33.745483,130.729160,27,806.84
shape_R01_6eb89030,33.744669,130.729247,28,897.71
shape_R01_6eb89030,33.744358,130.729287,29,932.49
shape_R01_6eb89030,33.744140,130.729293,30,956.74
shape_R01_6eb89030,33.744039,130.729291,31,967.97
shape_R01_6eb89030,33.743326,130.729279,32,1047.26
shape_R01_6eb89030,33.743279,130.729278,33,1052.49
shape_R01_6eb89030,33.742846,130.729255,34,1100.68
shape_R01_6eb89030,33.742795,130.729256,35,1106.35
shape_R01_6eb89030,33.742514,130.729265,36,1137.61
shape_R01_6eb89030,33.742185,130.729269,37,1174.19
shape_R01_6eb89030,33.742013,130.729308,38,1193.66
shape_R01_6eb89030,33.741529,130.729102,39,1250.75
shape_R01_6eb89030,33.741428,130.729050,40,1262.96
shape_R01_6eb89030,33.741121,130.728889,41,1300.20
shape_R01_6eb89030,33.740975,130.728809,42,1318.05
shape_R01_6eb89030,33.740981,130.728796,43,1319.42
shape_R01_6eb89030,33.741020,130.728716,44,1327.99
shape_R01_6eb89030,33.741043,130.728632,45,1336.17
shape_R01_6eb89030,33.741037,130.728564,46,1342.49
shape_R01_6eb89030,33.740979,130.728491,47,1351.83
shape_R01_6eb89030,33.740878,130.728368,48,1367.81
shape_R01_6eb89030,33.741096,130.727943,49,1413.99
shape_R01_6eb89030,33.740904,130.727711,50,1444.25
shape_R01_6eb89030,33.740678,130.727269,51,1492.23
shape_R01_6eb89030,33.740648,130.727217,52,1498.08
shape_R01_6eb89030,33.740635,130.727144,53,1504.98
shape_R01_6eb89030,33.740629,130.727071,54,1511.77
shape_R01_6eb89030,33.740058,130.727126,55,1575.46
shape_R01_6eb89030,33.740006,130.727798,56,1637.87
shape_R01_6eb89030,33.739966,130.728053,57,1661.86
shape_R01_6eb89030,33.739932,130.728244,58,1679.92
shape_R01_6eb89030,33.739896,130.728355,59,1690.94
shape_R01_6eb89030,33.739129,130.730438,60,1901.59
shape_R01_6eb89030,33.739082,130.730559,61,1913.94
shape_R01_6eb89030,33.738836,130.730451,62,1943.06
shape_R01_6eb89030,33.738586,130.730264,63,1975.79
shape_R01_6eb89030,33.738050,130.729984,64,2040.77
shape_R01_6eb89030,33.737244,130.729557,65,2138.71
shape_R01_6eb89030,33.737004,130.729459,66,2166.89
shape_R01_6eb89030,33.736861,130.729418,67,2183.24
shape_R01_6eb89030,33.736691,130.729391,68,2202.31
shape_R01_6eb89030,33.736426,130.729372,69,2231.83
shape_R01_6eb89030,33.736250,130.729378,70,2251.40
